champion,label
Aatrox,0
Ahri,1
Akali,2
Akshan,3
Alistar,4
Ambessa,5
Amumu,6
Anivia,7
Annie,8
Aphelios,9
Ashe,10
Aurelion Sol,11
Aurora,12
Azir,13
Bard,14
Bel'Veth,15
Blitzcrank,16
Brand,17
Braum,18
Briar,19
Caitlyn,20
Camille,21
Cassiopeia,22
Cho'Gath,23
Corki,24
Darius,25
Diana,26
Dr. Mundo,27
Draven,28
Ekko,29
Elise,30
Evelynn,31
Ezreal,32
Fiddlesticks,33
Fiora,34
Fizz,35
Galio,36
Gangplank,37
Garen,38
Gnar,39
Gragas,40
Graves,41
Gwen,42
Hecarim,43
Heimerdinger,44
Hwei,45
Illaoi,46
Irelia,47
Ivern,48
Janna,49
Jarvan IV,50
Jax,51
Jayce,52
Jhin,53
Jinx,54
K'Sante,55
Kai'Sa,56
Kalista,57
Karma,58
Karthus,59
Kassadin,60
Katarina,61
Kayle,62
Kayn,63
Kennen,64
Kha'Zix,65
Kindred,66
Kled,67
Kog'Maw,68
LeBlanc,69
Lee Sin,70
Leona,71
Lillia,72
Lissandra,73
Lucian,74
Lulu,75
Lux,76
Malphite,77
Malzahar,78
Maokai,79
Master Yi,80
Milio,81
Miss Fortune,82
Mordekaiser,83
Morgana,84
Naafiri,85
Nami,86
Nasus,87
Nautilus,88
Neeko,89
Nidalee,90
Nilah,91
Nocturne,92
Nunu & Willump,93
Olaf,94
Orianna,95
Ornn,96
Pantheon,97
Poppy,98
Pyke,99
Qiyana,100
Quinn,101
Rakan,102
Rammus,103
Rek'Sai,104
Rell,105
Renata Glasc,106
Renekton,107
Rengar,108
Riven,109
Rumble,110
Ryze,111
Samira,112
Sejuani,113
Senna,114
Seraphine,115
Sett,116
Shaco,117
Shen,118
Shyvana,119
Singed,120
Sion,121
Sivir,122
Skarner,123
Smolder,124
Sona,125
Soraka,126
Swain,127
Sylas,128
Syndra,129
Tahm Kench,130
Taliyah,131
Talon,132
Taric,133
Teemo,134
Thresh,135
Tristana,136
Trundle,137
Tryndamere,138
Twisted Fate,139
Twitch,140
Udyr,141
Urgot,142
Varus,143
Vayne,144
Veigar,145
Vel'Koz,146
Vex,147
Vi,148
Viego,149
Viktor,150
Vladimir,151
Volibear,152
Warwick,153
Wukong,154
Xayah,155
Xerath,156
Xin Zhao,157
Yasuo,158
Yone,159
Yorick,160
Yuumi,161
Zac,162
Zed,163
Zeri,164
Ziggs,165
Zilean,166
Zoe,167
Zyra,168
