gameid,side,position,playername,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT99_132665,Blue,top,Peop,Jax,Jarvan IV,Nocturne,Orianna,Cassiopeia,Darius,,,,,,2122,1,3,5,3,31,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8765,1.442,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,12158,343.77,0.124062,1082.262,876.7861,17,0.4807,7,0.1979,9,40,1.131,13936,9332,263.8643,0.189155,13283,,,271.0,263.0,8,,,7.6626,2630.0,3726.0,51.0,3871.0,4514.0,78.0,-1241.0,-788.0,-27.0,0.0,0.0,3.0,2.0,1.0,0.0,4461.0,6644.0,90.0,6390.0,7191.0,125.0,-1929.0,-547.0,-35.0,1.0,0.0,3.0,2.0,1.0,1.0,6454.0,9552.0,144.0,8064.0,9300.0,162.0,-1610.0,252.0,-18.0,1.0,1.0,3.0,2.0,2.0,2.0,8611.0,12479.0,198.0,10679.0,13117.0,204.0,-2068.0,-638.0,-6.0,2.0,1.0,4.0,3.0,4.0,3.0
LOLTMNT99_132665,Blue,jng,Stalken,Karthus,Jarvan IV,Nocturne,Orianna,Cassiopeia,Darius,,,,,,2122,1,3,3,20,31,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8765,1.442,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,0.0,28006,791.8756,0.285778,823.4873,379.2837,11,0.311,6,0.1697,1,27,0.7634,15956,11352,320.9802,0.230102,13975,,,327.0,68.0,259,,,9.246,3594.0,4190.0,88.0,3365.0,3172.0,49.0,229.0,1018.0,39.0,0.0,1.0,0.0,1.0,2.0,1.0,5694.0,6934.0,131.0,4766.0,4984.0,74.0,928.0,1950.0,57.0,0.0,5.0,1.0,1.0,3.0,2.0,7850.0,10247.0,191.0,6766.0,7427.0,108.0,1084.0,2820.0,83.0,0.0,6.0,1.0,2.0,4.0,3.0,9931.0,12756.0,222.0,8063.0,9455.0,134.0,1868.0,3301.0,88.0,1.0,9.0,2.0,2.0,5.0,4.0
LOLTMNT99_132665,Blue,mid,alix,Lucian,Jarvan IV,Nocturne,Orianna,Cassiopeia,Darius,,,,,,2122,1,11,6,10,31,20,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8765,1.442,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,32655,923.327,0.333218,827.3044,440.7257,10,0.2828,14,0.3959,3,38,1.0745,16119,11515,325.5891,0.233406,15175,,,256.0,252.0,4,,,7.2385,3786.0,5082.0,92.0,3150.0,4583.0,80.0,636.0,499.0,12.0,1.0,1.0,0.0,0.0,0.0,1.0,5698.0,7379.0,131.0,5146.0,6915.0,124.0,552.0,464.0,7.0,2.0,3.0,1.0,1.0,0.0,2.0,8716.0,10599.0,175.0,7200.0,9742.0,178.0,1516.0,857.0,-3.0,4.0,4.0,1.0,1.0,1.0,2.0,11199.0,13293.0,207.0,8778.0,11816.0,218.0,2421.0,1477.0,-11.0,7.0,6.0,2.0,1.0,1.0,3.0
LOLTMNT99_132665,Blue,bot,nevermind,Jhin,Jarvan IV,Nocturne,Orianna,Cassiopeia,Darius,,,,,,2122,1,13,1,8,31,20,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8765,1.442,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,20373,576.0509,0.20789,345.2121,164.4486,13,0.3676,5,0.1414,5,34,0.9614,17429,12825,362.6296,0.25996,13925,,,271.0,264.0,7,,,7.6626,3312.0,3902.0,89.0,3239.0,3455.0,85.0,73.0,447.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6146.0,6043.0,130.0,6224.0,6643.0,139.0,-78.0,-600.0,-9.0,4.0,0.0,0.0,2.0,0.0,1.0,8082.0,8311.0,165.0,8644.0,8913.0,193.0,-562.0,-602.0,-28.0,5.0,1.0,0.0,3.0,1.0,2.0,9940.0,10487.0,196.0,11027.0,11025.0,227.0,-1087.0,-538.0,-31.0,6.0,4.0,0.0,5.0,1.0,3.0
LOLTMNT99_132665,Blue,sup,Noki,Braum,Jarvan IV,Nocturne,Orianna,Cassiopeia,Darius,,,,,,2122,1,1,5,19,31,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8765,1.442,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,4807,135.9189,0.0490515,594.2601,719.0104,64,1.8096,8,0.2262,20,112,3.1668,8915,4311,121.8944,0.0873767,8600,,,28.0,28.0,0,,,0.7917,2466.0,1925.0,15.0,2251.0,2476.0,26.0,215.0,-551.0,-11.0,1.0,0.0,0.0,0.0,0.0,0.0,3950.0,3435.0,23.0,3498.0,3610.0,31.0,452.0,-175.0,-8.0,1.0,4.0,1.0,0.0,1.0,2.0,5002.0,4502.0,26.0,4653.0,5107.0,36.0,349.0,-605.0,-10.0,1.0,5.0,3.0,0.0,3.0,2.0,6010.0,6206.0,27.0,5685.0,6415.0,42.0,325.0,-209.0,-15.0,1.0,8.0,3.0,0.0,4.0,4.0
LOLTMNT99_132665,Red,top,Sangrod,Jayce,Akshan,Neeko,Akali,Alistar,Ezreal,,,,,,2122,0,8,5,5,20,31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5655,1.442,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,41195,1164.7974,0.443835,741.5457,666.6164,19,0.5372,6,0.1697,6,45,1.2724,17992,13388,378.5485,0.304659,19800,,,290.0,282.0,8,,,8.1998,3871.0,4514.0,78.0,2630.0,3726.0,51.0,1241.0,788.0,27.0,2.0,1.0,0.0,0.0,0.0,3.0,6390.0,7191.0,125.0,4461.0,6644.0,90.0,1929.0,547.0,35.0,2.0,1.0,1.0,1.0,0.0,3.0,8064.0,9300.0,162.0,6454.0,9552.0,144.0,1610.0,-252.0,18.0,2.0,2.0,2.0,1.0,1.0,3.0,10679.0,13117.0,204.0,8611.0,12479.0,198.0,2068.0,638.0,6.0,3.0,4.0,3.0,2.0,1.0,4.0
LOLTMNT99_132665,Red,jng,Derakhil,Elise,Akshan,Neeko,Akali,Alistar,Ezreal,,,,,,2122,0,3,8,5,20,31,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5655,1.442,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,0.0,1.0,11824,334.3261,0.127392,1007.6437,512.9689,2,0.0566,15,0.4241,3,33,0.9331,12108,7504,212.1772,0.170757,11125,,,206.0,28.0,178,,,5.8247,3365.0,3172.0,49.0,3594.0,4190.0,88.0,-229.0,-1018.0,-39.0,1.0,2.0,1.0,0.0,1.0,0.0,4766.0,4984.0,74.0,5694.0,6934.0,131.0,-928.0,-1950.0,-57.0,1.0,3.0,2.0,0.0,5.0,1.0,6766.0,7427.0,108.0,7850.0,10247.0,191.0,-1084.0,-2820.0,-83.0,2.0,4.0,3.0,0.0,6.0,1.0,8063.0,9455.0,134.0,9931.0,12756.0,222.0,-1868.0,-3301.0,-88.0,2.0,5.0,4.0,1.0,9.0,2.0
LOLTMNT99_132665,Red,mid,sappxire1,Syndra,Akshan,Neeko,Akali,Alistar,Ezreal,,,,,,2122,0,1,5,2,20,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5655,1.442,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,13905,393.1668,0.149813,529.2271,223.8549,12,0.3393,3,0.0848,0,19,0.5372,12419,7815,220.9708,0.177835,12150,,,268.0,268.0,0,,,7.5778,3150.0,4583.0,80.0,3786.0,5082.0,92.0,-636.0,-499.0,-12.0,0.0,0.0,1.0,1.0,1.0,0.0,5146.0,6915.0,124.0,5698.0,7379.0,131.0,-552.0,-464.0,-7.0,1.0,0.0,2.0,2.0,3.0,1.0,7200.0,9742.0,178.0,8716.0,10599.0,175.0,-1516.0,-857.0,3.0,1.0,1.0,2.0,4.0,4.0,1.0,8778.0,11816.0,218.0,11199.0,13293.0,207.0,-2421.0,-1477.0,11.0,1.0,1.0,3.0,7.0,6.0,2.0
LOLTMNT99_132665,Red,bot,tuokaZ,Varus,Akshan,Neeko,Akali,Alistar,Ezreal,,,,,,2122,0,7,6,4,20,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5655,1.442,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,20670,584.4486,0.222699,677.05,414.656,13,0.3676,8,0.2262,2,32,0.9048,15807,11203,316.7672,0.254935,14800,,,289.0,273.0,16,,,8.1715,3239.0,3455.0,85.0,3312.0,3902.0,89.0,-73.0,-447.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,6224.0,6643.0,139.0,6146.0,6043.0,130.0,78.0,600.0,9.0,2.0,0.0,1.0,4.0,0.0,0.0,8644.0,8913.0,193.0,8082.0,8311.0,165.0,562.0,602.0,28.0,3.0,1.0,2.0,5.0,1.0,0.0,11027.0,11025.0,227.0,9940.0,10487.0,196.0,1087.0,538.0,31.0,5.0,1.0,3.0,6.0,4.0,0.0
LOLTMNT99_132665,Red,sup,Rexha,Rell,Akshan,Neeko,Akali,Alistar,Ezreal,,,,,,2122,0,1,7,7,20,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5655,1.442,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,5222,147.6532,0.0562619,606.7295,734.59,54,1.5269,19,0.5372,11,122,3.4496,8639,4035,114.0905,0.0918134,7375,,,46.0,46.0,0,,,1.3007,2251.0,2476.0,26.0,2466.0,1925.0,15.0,-215.0,551.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,3498.0,3610.0,31.0,3950.0,3435.0,23.0,-452.0,175.0,8.0,0.0,1.0,2.0,1.0,4.0,1.0,4653.0,5107.0,36.0,5002.0,4502.0,26.0,-349.0,605.0,10.0,0.0,3.0,2.0,1.0,5.0,3.0,5685.0,6415.0,42.0,6010.0,6206.0,27.0,-325.0,209.0,15.0,0.0,4.0,4.0,1.0,8.0,3.0
