gameid,side,result,team kpm,ckpm,firstdragon,dragons,opp_dragons,elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,goldspent,gspd,gpr,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,top_champ,jng_champ,mid_champ,bot_champ,sup_champ
ESPORTSTMNT05/1540149,Blue,1,0.796,0.8955,,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,0.0,0.0,0.0,1.0,9.0,0.0,1.0,1.0,,,1.0,0.0,45358.0,2256.6169,1993.8308,1174.6766,39.0,1.9403,15.0,0.7463,17.0,92.0,4.5771,41578,27899.0,1388.01,35418.0,0.290833,5.24,502.0,142.0,96.0,13.0,32.0398,16213.0,18558.0,309.0,14093.0,17331.0,298.0,2120.0,1227.0,11.0,3.0,4.0,0.0,0.0,0.0,3.0,28962.0,30252.0,488.0,21280.0,26027.0,440.0,7682.0,4225.0,48.0,8.0,8.0,2.0,2.0,3.0,8.0,Camille,Evelynn,Zoe,Caitlyn,Senna
ESPORTSTMNT05/1540149,Red,0,0.0995,0.8955,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,,,0.0,1.0,17368.0,864.0796,2971.7413,1435.6219,54.0,2.6866,14.0,0.6965,22.0,97.0,4.8259,27521,13842.0,688.6567,26425.0,-0.290833,-5.24,466.0,92.0,79.0,0.0,27.7612,14093.0,17331.0,298.0,16213.0,18558.0,309.0,-2120.0,-1227.0,-11.0,0.0,0.0,3.0,3.0,4.0,0.0,21280.0,26027.0,440.0,28962.0,30252.0,488.0,-7682.0,-4225.0,-48.0,2.0,3.0,8.0,8.0,8.0,2.0,Wukong,Trundle,Cassiopeia,Ezreal,Blitzcrank
6062-7527,Blue,0,0.4089,1.0904,1.0,2.0,4.0,0.0,0.0,1.0,,,,,0.0,0.0,2.0,,2.0,11.0,1.0,0.0,,,0.0,4.0,,,,3967.5784,,,,,,,,61500,,,59700.0,-0.121829,-1.53,,,,,29.9864,14398.0,16683.0,308.0,16177.0,18267.0,283.0,-1779.0,-1584.0,25.0,0.0,0.0,4.0,4.0,5.0,0.0,24115.0,27441.0,476.0,24291.0,28492.0,434.0,-176.0,-1051.0,42.0,3.0,7.0,6.0,6.0,8.0,3.0,Renekton,Trundle,Sylas,Varus,Tahm Kench
6062-7527,Red,1,0.6815,1.0904,0.0,4.0,2.0,0.0,0.0,0.0,,,,,1.0,2.0,0.0,,11.0,2.0,0.0,1.0,,,4.0,0.0,,,,2573.0759,,,,,,,,69000,,,67445.0,0.121829,1.53,,,,,27.6147,16177.0,18267.0,283.0,14398.0,16683.0,308.0,1779.0,1584.0,-25.0,4.0,5.0,0.0,0.0,0.0,4.0,24291.0,28492.0,434.0,24115.0,27441.0,476.0,176.0,1051.0,-42.0,6.0,8.0,3.0,3.0,7.0,6.0,Sett,Elise,Irelia,Senna,Maokai
6062-7527,Blue,0,0.4089,1.0904,1.0,2.0,4.0,0.0,0.0,1.0,,,,,0.0,0.0,2.0,,2.0,11.0,1.0,0.0,,,0.0,4.0,,,,3967.5784,,,,,,,,61500,,,59700.0,-0.121829,-1.53,,,,,29.9864,14398.0,16683.0,308.0,16177.0,18267.0,283.0,-1779.0,-1584.0,25.0,0.0,0.0,4.0,4.0,5.0,0.0,24115.0,27441.0,476.0,24291.0,28492.0,434.0,-176.0,-1051.0,42.0,3.0,7.0,6.0,6.0,8.0,3.0,Renekton,Trundle,Sylas,Varus,Tahm Kench
6062-7527,Red,1,0.6815,1.0904,0.0,4.0,2.0,0.0,0.0,0.0,,,,,1.0,2.0,0.0,,11.0,2.0,0.0,1.0,,,4.0,0.0,,,,2573.0759,,,,,,,,69000,,,67445.0,0.121829,1.53,,,,,27.6147,16177.0,18267.0,283.0,14398.0,16683.0,308.0,1779.0,1584.0,-25.0,4.0,5.0,0.0,0.0,0.0,4.0,24291.0,28492.0,434.0,24115.0,27441.0,476.0,176.0,1051.0,-42.0,6.0,8.0,3.0,3.0,7.0,6.0,Sett,Elise,Irelia,Senna,Maokai
ESPORTSTMNT03/1241318,Blue,1,0.4595,0.7568,0.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,,,1.0,1.0,0.0,0.0,8.0,4.0,0.0,0.0,,,1.0,0.0,77679.0,2099.4324,1975.3243,2302.4595,191.0,5.1622,97.0,2.6216,67.0,380.0,10.2703,68927,44905.0,1213.6486,62275.0,0.00402253,-0.38,1049.0,216.0,166.0,0.0,34.1892,14615.0,17845.0,330.0,14498.0,17982.0,322.0,117.0,-137.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,21953.0,27219.0,507.0,22778.0,28884.0,519.0,-825.0,-1665.0,-12.0,0.0,0.0,1.0,1.0,2.0,0.0,Rumble,Elise,Qiyana,Miss Fortune,Nautilus
ESPORTSTMNT03/1241318,Red,0,0.2973,0.7568,1.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,4.0,8.0,1.0,1.0,,,0.0,1.0,48685.0,1315.8108,2934.9459,3135.6486,172.0,4.6486,91.0,2.4595,69.0,318.0,8.5946,62709,38687.0,1045.5946,62025.0,-0.00402253,0.38,1021.0,271.0,193.0,5.0,34.9189,14498.0,17982.0,322.0,14615.0,17845.0,330.0,-117.0,137.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,22778.0,28884.0,519.0,21953.0,27219.0,507.0,825.0,1665.0,12.0,1.0,2.0,0.0,0.0,0.0,1.0,Aatrox,Gragas,Mordekaiser,Xayah,Rakan
ESPORTSTMNT03/1241318,Blue,1,0.4595,0.7568,0.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,,,1.0,1.0,0.0,0.0,8.0,4.0,0.0,0.0,,,1.0,0.0,77679.0,2099.4324,1975.3243,2302.4595,191.0,5.1622,97.0,2.6216,67.0,380.0,10.2703,68927,44905.0,1213.6486,62275.0,0.00402253,-0.38,1049.0,216.0,166.0,0.0,34.1892,14615.0,17845.0,330.0,14498.0,17982.0,322.0,117.0,-137.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,21953.0,27219.0,507.0,22778.0,28884.0,519.0,-825.0,-1665.0,-12.0,0.0,0.0,1.0,1.0,2.0,0.0,Rumble,Elise,Qiyana,Miss Fortune,Nautilus
ESPORTSTMNT03/1241318,Red,0,0.2973,0.7568,1.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,4.0,8.0,1.0,1.0,,,0.0,1.0,48685.0,1315.8108,2934.9459,3135.6486,172.0,4.6486,91.0,2.4595,69.0,318.0,8.5946,62709,38687.0,1045.5946,62025.0,-0.00402253,0.38,1021.0,271.0,193.0,5.0,34.9189,14498.0,17982.0,322.0,14615.0,17845.0,330.0,-117.0,137.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,22778.0,28884.0,519.0,21953.0,27219.0,507.0,825.0,1665.0,12.0,1.0,2.0,0.0,0.0,0.0,1.0,Aatrox,Gragas,Mordekaiser,Xayah,Rakan
